Job Description,Job Category
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways.The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $15B of planning and design contracts under the responsibility and management of the bureau. The projects BEDC implement allow DEP as a whole to continue to operate and maintain an exemplary water sup,Engineering Architecture & Planning
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways.The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $15B of planning and design contracts under the responsibility and management of the bureau. The projects BEDC implement allow DEP as a whole to continue to operate and maintain an exemplary water sup,Engineering Architecture & Planning
The Commission on Human Rights (the Commission) is the agency charged with enforcing the New York City Human Rights Law (NYCHRL)   one of the most expansive civil rights laws in the nation.Through its Law Enforcement Bureau (LEB)the Commission accepts claims filed by the publicand has the power to initiate its own investigations to affirmatively root out discriminationharassmentretaliation and other violations of the NYCHRL.The Commission Community Relations Bureau (CRB) is empowered to take action against prejudiceintolerancebigotrydiscrimination and bias-related violence or harassment through educationtrainingsoutreach effortsand other mechanisms aimed at creating partnerships and relationships with stakeholders in the community.Both bureaus collaborate closely to work towards the shared goal of fostering mutual understanding and respect among all New Yorkers and encouraging equality of treatment throughout the City.The Commission Law Enforcement Burea,TechnologyData & Innovation
The Commission on Human Rights (the Commission) is the agency charged with enforcing the New York City Human Rights Law (NYCHRL)   one of the most expansive civil rights laws in the nation.Through its Law Enforcement Bureau (LEB)the Commission accepts claims filed by the publicand has the power to initiate its own investigations to affirmatively root out discriminationharassmentretaliation and other violations of the NYCHRL.The Commission Community Relations Bureau (CRB) is empowered to take action against prejudiceintolerancebigotrydiscrimination and bias-related violence or harassment through educationtrainingsoutreach effortsand other mechanisms aimed at creating partnerships and relationships with stakeholders in the community.Both bureaus collaborate closely to work towards the shared goal of fostering mutual understanding and respect among all New Yorkers and encouraging equality of treatment throughout the City.The Commission Law Enforcement Burea,TechnologyData & Innovation
HIRING RATE: $59708.00 (FLAT RATE) AMENDED JOB DESCRIPTION:*** The Mental Hygiene Division is responsible for policyprograms and provider oversight related to mental healthalcohol and drug use and developmental delays and disabilities. The Office of the Executive Deputy Commission (EDC) provides leadership and coordination across all bureaus and offices within the Divisionincluding initiatives under ThriveNYC which is an unprecedented strategy and set of initiatives to approach mental heal involving many City agencies.You will: - Conduct routine research and analyses as needed and provide assistance in the coordination of research efforts and research projects. -Provide regular updates on current research projects by gathering information from project managers and leadersprompting them for any necessary actions and documentation progress.- Assist in the preparing of briefing paperspresentationslettersresearch reports etc. for the Executive Deputy Commissioner meetings w,Health PolicyResearch & Analysis
HIRING RATE: $59708.00 (FLAT RATE) AMENDED JOB DESCRIPTION:*** The Mental Hygiene Division is responsible for policyprograms and provider oversight related to mental healthalcohol and drug use and developmental delays and disabilities. The Office of the Executive Deputy Commission (EDC) provides leadership and coordination across all bureaus and offices within the Divisionincluding initiatives under ThriveNYC which is an unprecedented strategy and set of initiatives to approach mental heal involving many City agencies.You will: - Conduct routine research and analyses as needed and provide assistance in the coordination of research efforts and research projects. -Provide regular updates on current research projects by gathering information from project managers and leadersprompting them for any necessary actions and documentation progress.- Assist in the preparing of briefing paperspresentationslettersresearch reports etc. for the Executive Deputy Commissioner meetings w,Health PolicyResearch & Analysis
The nation's leading local health department seeks an IT Project Manager to join its award-winninginnovative technology team in revolutionizing public health IT. The New York City Department of Health and Mental Hygiene (DOHMH) uses the latest technologies and enterprise wide application solutions in its groundbreaking work to promote and protect New Yorkers' health and improve DOHMH's business operations. The IT Project Manager will manage and own multiple simultaneous small to medium-sized projects.Projects are managed as a mix of waterfall and hybrid agile methodologies. Most systems are custom-built .NET web-based applications ranging in size and complexityothers include CRMSharePointand COTS products. The candidate will be responsible for the entire life cycle of the project from intake to requirementsdevelopment to quality testinguser acceptance testingimplementationand to product supportDUTIES WILL INCLUDE BUT NOT BE LIMITED TO:-Work closely with key stakeholders and business use,Health TechnologyData & Innovation
The nation's leading local health department seeks an IT Project Manager to join its award-winninginnovative technology team in revolutionizing public health IT. The New York City Department of Health and Mental Hygiene (DOHMH) uses the latest technologies and enterprise wide application solutions in its groundbreaking work to promote and protect New Yorkers' health and improve DOHMH's business operations. The IT Project Manager will manage and own multiple simultaneous small to medium-sized projects.Projects are managed as a mix of waterfall and hybrid agile methodologies. Most systems are custom-built .NET web-based applications ranging in size and complexityothers include CRMSharePointand COTS products. The candidate will be responsible for the entire life cycle of the project from intake to requirementsdevelopment to quality testinguser acceptance testingimplementationand to product supportDUTIES WILL INCLUDE BUT NOT BE LIMITED TO:-Work closely with key stakeholders and business use,Health TechnologyData & Innovation
The Bureau of Communicable Diseases performs case investigations for over 73 infectious diseases or conditions and conducts outbreak investigations in New York City. DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:-The Public Health Epidemiologist will conduct communicable disease surveillance and epidemiological investigation activities including: -Conducting reportable disease case investigations-Conducting telephone triage -Conducting outbreak investigations-Performing medical chart reviews and abstractions -Conducting patient and provider telephone interviews -Providing patient and public education -Conducting case and contact management -Performing data collection and analysis -Evaluating potential risk factors or high-risk transmission settings-Assisting with communicable disease prevention initiatives -Participating in the DOHMH's Surveillance and Epidemiology Emergency Response Section's preparedness and response activities,PolicyResearch & Analysis
The Bureau of Communicable Diseases performs case investigations for over 73 infectious diseases or conditions and conducts outbreak investigations in New York City. DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:-The Public Health Epidemiologist will conduct communicable disease surveillance and epidemiological investigation activities including: -Conducting reportable disease case investigations-Conducting telephone triage -Conducting outbreak investigations-Performing medical chart reviews and abstractions -Conducting patient and provider telephone interviews -Providing patient and public education -Conducting case and contact management -Performing data collection and analysis -Evaluating potential risk factors or high-risk transmission settings-Assisting with communicable disease prevention initiatives -Participating in the DOHMH's Surveillance and Epidemiology Emergency Response Section's preparedness and response activities,PolicyResearch & Analysis
"College Aide (Junior-Senior)The Mission of the DOHMH Call Center is to deliver enhanced customer service to the people of New York City by providing a single point of entry for Department information and services. This mission is accomplished through a state-of-the-art customer service facility designed to provide clientsand the private community with information about our services and programsreferralsappointments and follow-up health literature and education manuals. The New York City Department of Health and Mental Hygiene (DOHMH)a recognized leader and innovator in public health and mental hygiene services seeks a dynamichighly motivated and talented candidate to serve as a Call Agent within the Bureau of Customer Support and Printing Services Call Center Unit. DUTIES WILL INCLUDE BUT NOT BE LIMITED TO: Under supervision the College Aide will be responsible for providing various clerical and administrative assignments in order to meet the program's goals and objectives. An",Health
"College Aide (Junior-Senior)The Mission of the DOHMH Call Center is to deliver enhanced customer service to the people of New York City by providing a single point of entry for Department information and services. This mission is accomplished through a state-of-the-art customer service facility designed to provide clientsand the private community with information about our services and programsreferralsappointments and follow-up health literature and education manuals. The New York City Department of Health and Mental Hygiene (DOHMH)a recognized leader and innovator in public health and mental hygiene services seeks a dynamichighly motivated and talented candidate to serve as a Call Agent within the Bureau of Customer Support and Printing Services Call Center Unit. DUTIES WILL INCLUDE BUT NOT BE LIMITED TO: Under supervision the College Aide will be responsible for providing various clerical and administrative assignments in order to meet the program's goals and objectives. An",Health
Please read this posting carefully to make certain you meet the minimum qualification requirements before applying to this position.Position Summary: As part of NextGeneration (â€œNextGenâ€) NYCHA â€” the Authority 10-year planNYCHA will create safecleanand connected communities for NYCHA residents and preserve New York City's public housing assets for the next generation.Since launching in May 2015NYCHA has rolled out targeted strategies with the goal of improving resident quality of life through increased transparencyinfrastructure improvementsand stakeholder engagement. Community Engagement and Partnershipsâ€™ (â€œCEPâ€) Department of Resident Economic Empowerment & Sustainability (REES) is charged with working to develop and implement programspolicies and collaborations to measurably support residentsâ€™ increased economic opportunities with a focus on asset buildingemploymentadvancementadult education and trainingand business developm,Constituent Services & Community Programs
Please read this posting carefully to make certain you meet the minimum qualification requirements before applying to this position.Position Summary: As part of NextGeneration (â€œNextGenâ€) NYCHA â€” the Authority 10-year planNYCHA will create safecleanand connected communities for NYCHA residents and preserve New York City's public housing assets for the next generation.Since launching in May 2015NYCHA has rolled out targeted strategies with the goal of improving resident quality of life through increased transparencyinfrastructure improvementsand stakeholder engagement. Community Engagement and Partnershipsâ€™ (â€œCEPâ€) Department of Resident Economic Empowerment & Sustainability (REES) is charged with working to develop and implement programspolicies and collaborations to measurably support residentsâ€™ increased economic opportunities with a focus on asset buildingemploymentadvancementadult education and trainingand business developm,Constituent Services & Community Programs
"The EEO Investigator will work under general to limited supervision and conduct investigations regarding complaints of discrimination and sexual harassmentfield request for reasonable accommodationsprepare all required reports in support of the EDI Officeand provide training and education to agency employees of their rights and responsibilities under the FederalStateCityand Agency EEO policies and Diversity and Inclusion initiatives.Specificallyas the EEO Investigator reporting to the Assistant Commissioner of EEODiversity & Inclusionresponsibilities will include but not be limited to the following: Composing investigative planswhich include deciding which witnesses to interviewoutlining which questions to askand planning which documents to request and how to acquire said documents Interviewing witnesses to obtain complete and thorough responses to questionsWriting Investigative Reports and making recommendations to the Chief Diversity Officer/EEO Di",Administration & Human Resources Legal Affairs
"The EEO Investigator will work under general to limited supervision and conduct investigations regarding complaints of discrimination and sexual harassmentfield request for reasonable accommodationsprepare all required reports in support of the EDI Officeand provide training and education to agency employees of their rights and responsibilities under the FederalStateCityand Agency EEO policies and Diversity and Inclusion initiatives.Specificallyas the EEO Investigator reporting to the Assistant Commissioner of EEODiversity & Inclusionresponsibilities will include but not be limited to the following: Composing investigative planswhich include deciding which witnesses to interviewoutlining which questions to askand planning which documents to request and how to acquire said documents Interviewing witnesses to obtain complete and thorough responses to questionsWriting Investigative Reports and making recommendations to the Chief Diversity Officer/EEO Di",Administration & Human Resources Legal Affairs
The Executive Director for Regulatory Reform will assist with the implementation of Small Business Firsta multi-agency Mayoral initiative launched in early 2015. The Executive Director will be responsible for supporting on-going efforts with the Mayor Office of Operations to identify City regulatory processes that can be streamlined to benefit the business community of the City. The Small Business First initiative includes 30 commitments being implemented Citywide across more than 10 City agencies. Learn more at www.nyc.gov/smallbizfirst.The Executive Directorreporting to the Assistant Commissioner of Regulatory Reformwill provide a leadership role in implementing Small Business First and developing new policy initiatives. Examples of select key projects: reviewing City laws and rules in order to repeal or modify unnecessarily complex or obsolete regulationsworking with multiple City agencies to streamline areas of operation that are duplicative or overlappingand increasing City agencies,Constituent Services & Community Programs
The Executive Director for Regulatory Reform will assist with the implementation of Small Business Firsta multi-agency Mayoral initiative launched in early 2015. The Executive Director will be responsible for supporting on-going efforts with the Mayor Office of Operations to identify City regulatory processes that can be streamlined to benefit the business community of the City. The Small Business First initiative includes 30 commitments being implemented Citywide across more than 10 City agencies. Learn more at www.nyc.gov/smallbizfirst.The Executive Directorreporting to the Assistant Commissioner of Regulatory Reformwill provide a leadership role in implementing Small Business First and developing new policy initiatives. Examples of select key projects: reviewing City laws and rules in order to repeal or modify unnecessarily complex or obsolete regulationsworking with multiple City agencies to streamline areas of operation that are duplicative or overlappingand increasing City agencies,Constituent Services & Community Programs
The New York City Department of Health and Mental Hygiene's Division of Environmental Health works to prevent and control illness and injury related to environmental and occupational health risks through outreacheducationsurveillance and enforcement.With staff of 1 000the Division covers a broad range of subject matterincluding oversight of environmental investigationslead poisoninginjury preventionoccupational healthfood safetychild careradiation controlrecreational and drinking water qualityair qualityclimate healthvector controlveterinary public health and pest control. The Health Academy provides training and certification courses to individuals from the public as mandated by the New York City Health Code and to train Environmental Health Personnel in the principles of Environmental Sciences.The Division of Environmental Health seeks an Associate Public Health SanitarianLevel IIfor its Bureau of Regulatory and External Affairs. DUTIES WILL INCLUDE BUT NOT BE LIMITE,Health Public SafetyInspections& Enforcement
The New York City Department of Health and Mental Hygiene's Division of Environmental Health works to prevent and control illness and injury related to environmental and occupational health risks through outreacheducationsurveillance and enforcement.With staff of 1 000the Division covers a broad range of subject matterincluding oversight of environmental investigationslead poisoninginjury preventionoccupational healthfood safetychild careradiation controlrecreational and drinking water qualityair qualityclimate healthvector controlveterinary public health and pest control. The Health Academy provides training and certification courses to individuals from the public as mandated by the New York City Health Code and to train Environmental Health Personnel in the principles of Environmental Sciences.The Division of Environmental Health seeks an Associate Public Health SanitarianLevel IIfor its Bureau of Regulatory and External Affairs. DUTIES WILL INCLUDE BUT NOT BE LIMITE,Health Public SafetyInspections& Enforcement
The Administration for Children Services (ACS) Office of Child and Family Health (OCFH) delivers direct medical services to children entering foster care and ensures that the physical health care provided is comprehensive and appropriate. The Medical Audit Unit within OCFH reviews foster care medical records and ensures compliance with the established health standards for children in foster care. The Audit Nurse will be responsible for conducting medical case reviews for all foster care agencies within the 5 boroughs. Duties will include but not limited to: â€¢ Review medical records at ACS contracted agencies to ensure compliance with established health care standards for foster care youth.â€¢ Liaise with contracted agencies regarding scheduling of reviews.â€¢ Assist Nurse Supervisor in the development of corrective action plans for areas identified.â€¢ Use agency developed tool and scoring methods to determine compliance with all FederalStateand City regulations and gui,Health
The Administration for Children Services (ACS) Office of Child and Family Health (OCFH) delivers direct medical services to children entering foster care and ensures that the physical health care provided is comprehensive and appropriate. The Medical Audit Unit within OCFH reviews foster care medical records and ensures compliance with the established health standards for children in foster care. The Audit Nurse will be responsible for conducting medical case reviews for all foster care agencies within the 5 boroughs. Duties will include but not limited to: â€¢ Review medical records at ACS contracted agencies to ensure compliance with established health care standards for foster care youth.â€¢ Liaise with contracted agencies regarding scheduling of reviews.â€¢ Assist Nurse Supervisor in the development of corrective action plans for areas identified.â€¢ Use agency developed tool and scoring methods to determine compliance with all FederalStateand City regulations and gui,Health
Under the general supervision of the Director of Mediationa Mediation Coordinator reviews complaints filed by members of the public against New York City police officers to determine the eligibility and suitability of the cases proposed for mediation.The Mediation Coordinator manages an individual docket of casesliaisons with complainants and police officersshepherds cases through the established approved processschedules mediationscoordinates mediatorsand assists in the Mediation Unit training sessions.The selected individual will receive training for mediators.,Communications & Intergovernmental Affairs
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways.New York City has approximately 140 000 catch basins114 000 hydrants90 000 valves14 gatehouses3 reservoirs68 groundwater wellsa 100 million gallon underground storage tank and 7 000 miles each of both sanitary sewers and water mains. The responsibility of maintaining these vast networks falls under the Dep,Engineering Architecture & Planning
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways.New York City has approximately 140 000 catch basins114 000 hydrants90 000 valves14 gatehouses3 reservoirs68 groundwater wellsa 100 million gallon underground storage tank and 7 000 miles each of both sanitary sewers and water mains. The responsibility of maintaining these vast networks falls under the Dep,Engineering Architecture & Planning
The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City governmentCity agenciesand City employeesvendors with City contractsindividuals and entities that receive City funds.The duties of this position encompassbut are not limited to the following activities: â€¢ The accurate and timely processing of the agency's OTPS Liabilities for goods and services. â€¢ Perform day to day management of all payment cycle activities. â€¢ Trackprocess and reconcile payments and expendituresincluding purchase ordersinvoicesstatementschecksrefund requisitions in compliance with financial policies and procedures. â€¢ Liaise with vendors and agency staff to ensure efficient service. â€¢ General administrative work including scanningcopyingand file management. â€¢ ,FinanceAccounting& Procurement Public Safety
The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City governmentCity agenciesand City employeesvendors with City contractsindividuals and entities that receive City funds.The duties of this position encompassbut are not limited to the following activities: â€¢ The accurate and timely processing of the agency's OTPS Liabilities for goods and services. â€¢ Perform day to day management of all payment cycle activities. â€¢ Trackprocess and reconcile payments and expendituresincluding purchase ordersinvoicesstatementschecksrefund requisitions in compliance with financial policies and procedures. â€¢ Liaise with vendors and agency staff to ensure efficient service. â€¢ General administrative work including scanningcopyingand file management. â€¢ ,FinanceAccounting& Procurement Public Safety
The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City governmentCity agenciesand City employeesvendors with City contractsindividuals and entities that receive City funds.The Information Technology (IT) Unit of DOI is looking for a Senior Developer who will report to the Director of Network and Server Operationswith latitude for independent initiative and judgment. The successful candidate will support DOI's Content Management System (CMS) using Microsoft SharePoint 2016. The candidate will provide overall technical designenhancements and conduct maintenance on the CMS via SharePoint 2016. They will help establish business and technical specifications for advice on creation of the CMS architecture design. The candidate will be responsible for overseeing/delivering the following: R,TechnologyData & Innovation Public SafetyInsp
The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City governmentCity agenciesand City employeesvendors with City contractsindividuals and entities that receive City funds.The Information Technology (IT) Unit of DOI is looking for a Senior Developer who will report to the Director of Network and Server Operationswith latitude for independent initiative and judgment. The successful candidate will support DOI's Content Management System (CMS) using Microsoft SharePoint 2016. The candidate will provide overall technical designenhancements and conduct maintenance on the CMS via SharePoint 2016. They will help establish business and technical specifications for advice on creation of the CMS architecture design. The candidate will be responsible for overseeing/delivering the following: R,TechnologyData & Innovation Public SafetyInsp
The Administration for Children Services is currently seeking qualified applicants for the position of Youth Development Specialist. This position is an integral part of an interdisciplinary team responsible for the custodydirect caresupervisioncounselingand accountability of youths in the custody of the Administration for Children Services in juvenile detention facilities. Youth Development Specialistsunder direct supervision during an assigned tour of dutywill perform the following duties:â€¢ Facilitateengage and support youth in all activitiesincluding schoolwake-up and bedtime routinesmealschoresrecreationreligious servicescourt preparationcourt attendancefamily visitshealth care visits and other activities as necessary. â€¢ Facilitate youth learning of pro-socialacademicand vocational skills. â€¢ Mentor and guide youth individually and in groups while using a behavior management system to shape youth behavior. â€¢ Facilitate youth,Social Services
The Administration for Children Services is currently seeking qualified applicants for the position of Youth Development Specialist. This position is an integral part of an interdisciplinary team responsible for the custodydirect caresupervisioncounselingand accountability of youths in the custody of the Administration for Children Services in juvenile detention facilities. Youth Development Specialistsunder direct supervision during an assigned tour of dutywill perform the following duties:â€¢ Facilitateengage and support youth in all activitiesincluding schoolwake-up and bedtime routinesmealschoresrecreationreligious servicescourt preparationcourt attendancefamily visitshealth care visits and other activities as necessary. â€¢ Facilitate youth learning of pro-socialacademicand vocational skills. â€¢ Mentor and guide youth individually and in groups while using a behavior management system to shape youth behavior. â€¢ Facilitate youth,Social Services
Agency Attorneys within the Business Law Unit (â€œBLUâ€) are responsible for draftingreviewing and revising NYC Administration for Children Services (â€œACSâ€) contracts and solicitations which includebut are not limited toagreementsmemorandums of understandingslicensescooperative agreements between ACS and other City agenciesleasesrequests for proposals and bid book solicitations. BLU Agency Attorney duties also extend beyond the initial contract process to includebut are not limited toproviding guidance on corrective action plansvendor protest responses and legal questions arising out of signed agreements. Under direction of the Associate General Counsel of the Business Law Unitwith some latitude for independent judgment and un-reviewed action and decision makingthe Agency Attorney will provide legal counselcontract drafting and negotiating services to ACS. Specific duties will includebut are not limited to: â€¢ Draftreviewand interpret con,Legal Affairs
Agency Attorneys within the Business Law Unit (â€œBLUâ€) are responsible for draftingreviewing and revising NYC Administration for Children Services (â€œACSâ€) contracts and solicitations which includebut are not limited toagreementsmemorandums of understandingslicensescooperative agreements between ACS and other City agenciesleasesrequests for proposals and bid book solicitations. BLU Agency Attorney duties also extend beyond the initial contract process to includebut are not limited toproviding guidance on corrective action plansvendor protest responses and legal questions arising out of signed agreements. Under direction of the Associate General Counsel of the Business Law Unitwith some latitude for independent judgment and un-reviewed action and decision makingthe Agency Attorney will provide legal counselcontract drafting and negotiating services to ACS. Specific duties will includebut are not limited to: â€¢ Draftreviewand interpret con,Legal Affairs
Working closely with the Office of Family Permanency Servicesthe Office of Education Support and Policy Planningand the Office of Parent Engagement and Youth Advocacy the Community Coordinator is charged with the Coordination and implementation of the Fostering College Success Initiative.Under general direction and with wide latitude for independent initiativeand judgment will work diligently in the planningcoordinationmonitoring and evaluation of community development programs.Under the supervision of the Executive Director of College Bound and Support Programsthe Community Coordinator will be responsible for but not limited to the following duties:â€¢ Diligently track contract term performance student persistence data and best practices â€¢ Establish and manage relationships within communities served â€¢ Conduct outreach to communities served regarding the Fostering College Success Initiative CUNY Dorm Project â€¢ Collaborate with the Office of Education Support and Po,Social Services
NOTE: Only permanent incumbents in the Administrative Staff Analyst title are eligible to apply. Background Construction & Technical Services (CTS) consists of a designconstruction and technical team of architectsengineerselevator mechanicsas well as project & property managers who provide services for time-sensitive rehabilitationrenovations and maintenance in City-owned properties.Its design team performs in-house designsconducts field inspections and ensures design compliance with Local Laws. This team also performs reviews of design consultant drawings to assure accountability for the needed renovations. The construction team manages and oversees time-sensitive construction projects to ensure daily activities comply with contract drawingsspecificationsbuilding codesbudget and timelines. This team assesses field conditionsprepares reports and coordinates meetings with contractorsconsultants and the in-house design crew to address variations from the original design drawings to ,Engineering Architecture & Planning Building Op
NOTE: Only permanent incumbents in the Administrative Staff Analyst title are eligible to apply. Background Construction & Technical Services (CTS) consists of a designconstruction and technical team of architectsengineerselevator mechanicsas well as project & property managers who provide services for time-sensitive rehabilitationrenovations and maintenance in City-owned properties.Its design team performs in-house designsconducts field inspections and ensures design compliance with Local Laws. This team also performs reviews of design consultant drawings to assure accountability for the needed renovations. The construction team manages and oversees time-sensitive construction projects to ensure daily activities comply with contract drawingsspecificationsbuilding codesbudget and timelines. This team assesses field conditionsprepares reports and coordinates meetings with contractorsconsultants and the in-house design crew to address variations from the original design drawings to ,Engineering Architecture & Planning Building Op
The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City governmentCity agenciesand City employeesvendors with City contractsindividuals and entities that receive City funds. The Digital Forensic Investigator will support a range of confidential investigations related to allegations of fraud and/or misconduct by conducting authorized and/or court-ordered computer searches and seizuresand retrievingreviewingand analyzing digital evidence and other electronic devices such as laptopsdesktop computersserversmobile devicestablets and CCTV systems for the Digital Forensic Unit. Duties include establishing and preserving the chain of custody of digital evidencelogging and securing propertyassisting with computer related search warrantsand participating on a team of investigato,Public SafetyInspections& Enforcement
The New York City Department of Investigation (DOI) is one of the oldest law enforcement agencies in the country with a mission of combating municipal corruption. It serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City governmentCity agenciesand City employeesvendors with City contractsindividuals and entities that receive City funds. The Digital Forensic Investigator will support a range of confidential investigations related to allegations of fraud and/or misconduct by conducting authorized and/or court-ordered computer searches and seizuresand retrievingreviewingand analyzing digital evidence and other electronic devices such as laptopsdesktop computersserversmobile devicestablets and CCTV systems for the Digital Forensic Unit. Duties include establishing and preserving the chain of custody of digital evidencelogging and securing propertyassisting with computer related search warrantsand participating on a team of investigato,Public SafetyInspections& Enforcement
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways.New York City has approximately 140 000 catch basins114 000 hydrants90 000 valves14 gatehouses3 reservoirs68 groundwater wellsa 100 million gallon underground storage tank and 7 000 miles each of both sanitary sewers and water mains. The responsibility of maintaining these vast networks falls under the Dep,Engineering Architecture & Planning
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways.New York City has approximately 140 000 catch basins114 000 hydrants90 000 valves14 gatehouses3 reservoirs68 groundwater wellsa 100 million gallon underground storage tank and 7 000 miles each of both sanitary sewers and water mains. The responsibility of maintaining these vast networks falls under the Dep,Engineering Architecture & Planning
The DCAS Fire and Life Safety Unit (FLSU) is responsible for complying with the Local Laws of the City of New York that relate to fire and life safety.Local Law #5 and Local Law #26 require that all high-rise buildings taller than seventy-five feet or with more than 100 occupants above or below the ground floor have a Fire Safety/Emergency Action Plan Director (FSD/EAPD).To qualify for this positionfire safety professionals must obtain certification from the New York City Fire Department.Once assigned to a buildinga FSD/EAPD is responsible for implementing Fire Department directives and for responding to all fire and non-fire emergencies in the facility. Their duties are but not limited to:â€¢ Monitors fire command station and utilize Public Address (PA) system to provide direction to building occupants during building alarmsfire and evacuation drillsand emergenciesâ€¢ Maintains and implements the Fire Safety and Emergency Action Planâ€¢ Ensures that regular Fire Safety/EAP ,Public SafetyInspections& Enforcement
